x   host1          host2 
170 3.8 GBytes 32.6 Gbits/sec       4.08 GBytes 35.1 Gbits/sec
171 4.19 GBytes 36 Gbits/sec       3.82 GBytes 32.8 Gbits/sec
172 4.11 GBytes 35.3 Gbits/sec       4.09 GBytes 35.1 Gbits/sec
173 4.12 GBytes 35.4 Gbits/sec       4.34 GBytes 37.3 Gbits/sec
174 4.26 GBytes 36.6 Gbits/sec       3.98 GBytes 34.2 Gbits/sec
175 4.7 GBytes 40.4 Gbits/sec       3.58 GBytes 30.8 Gbits/sec
176 3.73 GBytes 32.1 Gbits/sec       4.73 GBytes 40.7 Gbits/sec
177 4.29 GBytes 36.8 Gbits/sec       4.06 GBytes 34.8 Gbits/sec
178 4.42 GBytes 38 Gbits/sec       4 GBytes 34.4 Gbits/sec
179 4.27 GBytes 36.7 Gbits/sec       4.49 GBytes 38.6 Gbits/sec
180 4.02 GBytes 34.5 Gbits/sec       4.17 GBytes 35.8 Gbits/sec
181 4.09 GBytes 35.2 Gbits/sec       4.1 GBytes 35.2 Gbits/sec
182 4.26 GBytes 36.6 Gbits/sec       4.33 GBytes 37.2 Gbits/sec
183 3.84 GBytes 33 Gbits/sec       4.04 GBytes 34.7 Gbits/sec
184 3.93 GBytes 33.8 Gbits/sec       4.33 GBytes 37.2 Gbits/sec
185 4.1 GBytes 35.3 Gbits/sec       3.67 GBytes 31.5 Gbits/sec
186 4.3 GBytes 37 Gbits/sec       4.08 GBytes 35.1 Gbits/sec
187 4.04 GBytes 34.7 Gbits/sec       4.37 GBytes 37.6 Gbits/sec
188 3.69 GBytes 31.7 Gbits/sec       3.79 GBytes 32.6 Gbits/sec
189 4.16 GBytes 35.7 Gbits/sec       4.1 GBytes 35.2 Gbits/sec
190 4.09 GBytes 35.1 Gbits/sec       4.26 GBytes 36.6 Gbits/sec
191 4.23 GBytes 36.4 Gbits/sec       4.02 GBytes 34.5 Gbits/sec
192 4.15 GBytes 35.6 Gbits/sec       4.07 GBytes 35 Gbits/sec
